Championship,Team A,Team B,Score,Time,Date
الدوري الفرنسي,تروا,اوكسير,1 - 1,22:00,11/04/2022
الدوري الإيطالي,أودينيزي,ليتشي,1 - 1,21:45,11/04/2022
الدوري الألماني,مونشنجلادباخ,شتوتجارت,3 - 1,21:30,11/04/2022
الدوري التركي,قاسم باشا,أنقرة جوتشو,1 - 1,19:00,11/04/2022
الدوري التركي,أومراني سبور,ألانيا سبور,3 - 1,19:00,11/04/2022
الدوري البرتغالي,جل فيسنتي,بورتيمونينسي,1 - 2,22:15,11/04/2022
الدوري الإماراتي,العين,خورفكان,2 - 1,14:45,11/04/2022
الدوري الإماراتي,البطائح,شباب الأهلي,0 - 6,14:45,11/04/2022
الدوري الإماراتي,النصر الإماراتي,الجــزيرة,0 - 2,17:30,11/04/2022
الدوري المغربي,حسنية اغادير,شباب المحمدية,2 - 1,19:15,11/04/2022
الدوري المغربي,أولمبيك آسفي,الدفاع الجديدي,0 - 0,21:30,11/04/2022
